,price,rating_value,review_count,cover_type,paper_type,rating_ratio,book_name,will_read_count,now_reading_count,already_read_count,favourite_count,purchase_info,page_num
19,60.88,,,Karton Kapak,Kitap Kağıdı,0.0,Öfke Terbiyesi,16.0,1.0,3.0,266.0,206.0,136
20,64.68,5.0,230.0,Karton Kapak,Kitap Kağıdı,96.5,Bilinçaltınızdan Gelen Ebeveyn,204.0,49.0,392.0,2286.0,8821.0,216
21,79.4,5.0,7.0,Karton Kapak,Kitap Kağıdı,91.7,Öz Şefkatli Farkındalık Uygulama Rehberi,42.0,9.0,10.0,987.0,1336.0,
22,161.4,4.0,159.0,Karton Kapak,Kitap Kağıdı,83.7,Zero Limit: Antik Hawai Ho'oponopono Öğretisi,132.0,21.0,232.0,2340.0,8928.0,272
23,129.28,5.0,1.0,Karton Kapak,Kitap Kağıdı,100.0,Uslu Çocuk Olmayı Bırak,3.0,1.0,3.0,75.0,112.0,240
24,54.0,5.0,22.0,Karton Kapak,Kitap Kağıdı,93.1,Zihin Tuzakları  Kendine Yardım Kitabı,77.0,12.0,67.0,1097.0,2718.0,160
25,177.84,5.0,16.0,Karton Kapak,Kitap Kağıdı,92.7,Kendiniz Olma Alışkanlığını Kırmak,116.0,21.0,41.0,2922.0,866.0,428
26,72.6,4.0,,Karton Kapak,Kitap Kağıdı,80.0,İnsanları Etkilemek Süpergücünüzdür  Kendinizden Taviz Vermeden İstediğinizi Nasıl Alırsınız? ,11.0,1.0,0.0,101.0,80.0,256
27,96.24,5.0,101.0,Karton Kapak,Kitap Kağıdı,93.1,İçimizdeki Biz,228.0,16.0,278.0,5390.0,6974.0,270
28,78.0,5.0,116.0,Karton Kapak,Kitap Kağıdı,,İyileşen Evliliğim,556.0,74.0,381.0,3284.0,15246.0,200
29,57.42,5.0,235.0,Karton Kapak,Kitap Kağıdı,97.9,Ebeveynlik Tefekkürleri,203.0,33.0,400.0,1854.0,9413.0,160
30,78.0,5.0,52.0,Karton Kapak,Kitap Kağıdı,94.5,Karatay Sözü,169.0,26.0,103.0,1361.0,5046.0,168
31,58.4,5.0,45.0,Karton Kapak,Kitap Kağıdı,92.8,İnsanın Anlam Arayışı  Genç Okurlar İçin Uyarlanan Baskı,131.0,12.0,110.0,2506.0,4336.0,152
32,72.6,4.0,25.0,Karton Kapak,Kitap Kağıdı,89.8,Nevrotik Bir Gezegenden Notlar,115.0,9.0,76.0,1838.0,1916.0,320
33,72.6,5.0,4.0,Karton Kapak,Kitap Kağıdı,96.7,Bilinçaltınızı Nasıl Dönüştürürsünüz?,13.0,1.0,14.0,264.0,798.0,280
34,33.0,4.0,64.0,Karton Kapak,Kitap Kağıdı,84.1,Söz ve Diksiyon Sanatı,107.0,17.0,100.0,1886.0,3278.0,147
35,56.1,5.0,245.0,Karton Kapak,Kitap Kağıdı,94.3,Çocuklar ve Çiçek Mezarlıkları,194.0,30.0,453.0,2350.0,7777.0,144
36,60.18,5.0,13.0,Karton Kapak,Kitap Kağıdı,98.9,Allah Var Diyorsan  Allah Yokmuş Gibi Yaşama,33.0,1.0,19.0,265.0,630.0,128
37,239.4,5.0,8.0,Karton Kapak,Kitap Kağıdı,92.4,Davranış: En İyi ve En Kötü Haliyle İnsan Biyolojisi,86.0,10.0,25.0,1226.0,1390.0,800
38,84.0,5.0,12.0,Karton Kapak,Kitap Kağıdı,98.0,Kendini Unutma,42.0,8.0,18.0,395.0,1135.0,237
39,73.26,5.0,10.0,Karton Kapak,Kitap Kağıdı,94.1,İnsanların Oynadığı Oyunlar,49.0,4.0,7.0,706.0,1000.0,267
40,215.4,5.0,9.0,Karton Kapak,Kitap Kağıdı,98.7,"Beyninizi Değiştirin Hayatınız Değişsin  Anksiyete, Depresyon, Takıntı, Dikkat Eksikliği, Öfke ve Hafıza Sorunlarını Aşmak İçin Çığır Açan Bir Program",42.0,5.0,18.0,965.0,818.0,552
41,92.4,4.0,45.0,Karton Kapak,Kitap Kağıdı,80.0,Olumlu Düşünmenin Gücü,82.0,10.0,72.0,1906.0,2743.0,288
42,66.0,5.0,3.0,Karton Kapak,Kitap Kağıdı,,Olumlamalarla Bilinçaltını Kodla,7.0,1.0,0.0,137.0,371.0,216
43,63.0,5.0,1.0,Karton Kapak,Kitap Kağıdı,90.0,Kadın Erkeğe Eş'tir,1.0,1.0,5.0,154.0,180.0,110
44,60.8,5.0,4.0,Karton Kapak,Kitap Kağıdı,97.1,21 Günde Güç İçinizde,21.0,4.0,8.0,395.0,755.0,185
45,179.4,4.0,48.0,Karton Kapak,Kitap Kağıdı,89.6,"Azim Sabır, Tutku ve Kararlılığın Gücü",113.0,13.0,84.0,1872.0,3924.0,384
46,126.0,5.0,3.0,Karton Kapak,Kitap Kağıdı,100.0,Sağlığına Format At,9.0,1.0,17.0,278.0,495.0,328
47,75.0,4.0,38.0,Karton Kapak,Kitap Kağıdı,88.7,Mutluluk Terapileri  Kişisel Uyanış ve İçsel Yolculuk Kitabı!,43.0,6.0,67.0,804.0,1790.0,160
48,73.92,5.0,4.0,Karton Kapak,Kitap Kağıdı,93.3,Geveze  Kafamızın İçindeki Dırdırcı Ses ve Onu Dizginlemenin Yolları,54.0,4.0,19.0,839.0,1145.0,272
49,79.4,5.0,5.0,Karton Kapak,Kitap Kağıdı,93.3,Var Olmanın Gücü,14.0,1.0,17.0,557.0,849.0,304
50,179.4,5.0,29.0,Karton Kapak,Kitap Kağıdı,,Kendini Değiştiren Beyin,98.0,17.0,43.0,2201.0,2099.0,448
51,149.4,5.0,33.0,Karton Kapak,Kitap Kağıdı,90.6,İçindeki Çocuk Bir Yuva Bulmalı,147.0,14.0,77.0,987.0,2382.0,256
52,250.25,,,Karton Kapak,Kitap Kağıdı,0.0,Düşünme Şeklinizi Değiştirecek 101 Deneme,2.0,0.0,0.0,113.0,42.0,432
53,73.66,5.0,2.0,Karton Kapak,Kitap Kağıdı,96.7,Saf Mutluluk,12.0,3.0,2.0,206.0,196.0,224
54,91.9,5.0,1371.0,Karton Kapak,Kitap Kağıdı,91.8,Empati (Karton Kapak),832.0,78.0,2624.0,8119.0,12090.0,690
55,58.5,,,Karton Kapak,Kitap Kağıdı,0.0,Çocuk Duyduğunu Değil Gördüğünü Yapar,1.0,0.0,0.0,21.0,40.0,256
56,31.5,4.0,15.0,Karton Kapak,Kitap Kağıdı,86.5,Başarının 7 Spirütüel Yasası,30.0,8.0,31.0,439.0,1050.0,104
57,74.56,5.0,,Karton Kapak,Kitap Kağıdı,100.0,Özün Seni Uyandırsın,9.0,0.0,1.0,130.0,135.0,184
58,187.5,5.0,2.0,Karton Kapak,Kitap Kağıdı,97.1,Bırakmak,31.0,5.0,10.0,732.0,526.0,336
59,131.4,5.0,1.0,Karton Kapak,Kitap Kağıdı,95.0,"İyi Hisset, İyi Yaşa: Kendini Sevmek Ne Kadar Muhteşem Olduğunu Görmenin İlk Kuralıdır",23.0,0.0,11.0,691.0,746.0,304
60,162.5,,,Karton Kapak,Kitap Kağıdı,0.0,Dağ Sensin  Kendini Sabote Etmeyi Öz Hakimiyete Dönüştürmek,1.0,0.0,0.0,65.0,38.0,232
61,58.08,5.0,7.0,Karton Kapak,Kitap Kağıdı,100.0,Kendine Yardım Et!,27.0,8.0,12.0,410.0,852.0,224
62,117.85,5.0,6.0,Karton Kapak,Kitap Kağıdı,94.3,Yaşamın İkinci Yarısında Anlam Arayışı  Sonunda Gerçek Anlamda Nasıl Büyürüz?,37.0,3.0,16.0,749.0,753.0,304
63,179.4,5.0,7.0,Karton Kapak,Kitap Kağıdı,96.2,Küçük Alışkanlıklar,49.0,4.0,11.0,675.0,755.0,424
64,72.6,4.0,8.0,Karton Kapak,Kitap Kağıdı,84.0,Uyku  Neden? Nasıl? Ne Zaman? Ne Kadar?,19.0,2.0,5.0,186.0,217.0,230
65,61.5,5.0,31.0,Karton Kapak,Kitap Kağıdı,95.1,Kendini Bulmak,119.0,6.0,63.0,1672.0,2656.0,224
66,67.98,5.0,9.0,Karton Kapak,Kitap Kağıdı,90.0,Bilgenin Güncesi: Naval Ravikant  Mutluluk ve Zenginlik Rehberi,30.0,6.0,19.0,579.0,965.0,232
67,73.16,5.0,15.0,Karton Kapak,Kitap Kağıdı,92.0,İkna Oyunları,63.0,6.0,18.0,988.0,950.0,304
68,101.4,5.0,32.0,Karton Kapak,Kitap Kağıdı,92.1,Dünyanın Kıyısındaki Kafe,37.0,8.0,60.0,641.0,1175.0,128
69,57.83,5.0,,Karton Kapak,Kitap Kağıdı,100.0,Kendiyle Dost Olmak Hayatı Nasıl Kolaylaştırır?,8.0,0.0,3.0,281.0,238.0,103
70,80.6,5.0,4.0,Karton Kapak,Kitap Kağıdı,96.0,İnsanın Huzur Arayışı,11.0,0.0,5.0,257.0,315.0,192
71,149.4,5.0,2.0,Karton Kapak,Kitap Kağıdı,100.0,Çekim Yasası Sırrı,13.0,3.0,8.0,434.0,461.0,272
72,63.1,5.0,1.0,Karton Kapak,Kitap Kağıdı,96.0,Hayatı Yürümek: Sakin Bir Mutluluk Sanatı,11.0,0.0,1.0,204.0,231.0,160
73,149.4,4.0,27.0,Karton Kapak,Kitap Kağıdı,84.2,Sabah Mucizesi  08.00’den Önce Hayatınızı Değiştirme Garantili  6 Dakika,69.0,3.0,65.0,978.0,2066.0,184
74,179.4,4.0,132.0,Karton Kapak,Kitap Kağıdı,85.6,"59 Saniye:  Azıcık Düşünün, Çok Şeyi Değiştirin",218.0,24.0,167.0,3552.0,4385.0,344
75,48.0,5.0,22.0,Karton Kapak,Kitap Kağıdı,91.1,İyi İnsan Olma Sanatı,68.0,13.0,57.0,566.0,1584.0,176
76,99.0,4.0,4.0,Karton Kapak,Kitap Kağıdı,88.0,Zihnim Ellerimde ,56.0,2.0,21.0,319.0,1033.0,200
77,119.0,4.0,3.0,Karton Kapak,Kitap Kağıdı,87.5,Yıka Beynini,4.0,1.0,11.0,239.0,276.0,296
78,99.0,5.0,6.0,Karton Kapak,Kitap Kağıdı,95.0,Hayat Dengedir,4.0,0.0,4.0,69.0,648.0,196
79,97.5,,,Karton Kapak,Kitap Kağıdı,0.0,10 Günde Özgüven  On Adımla Depresyondan Kurtuluş,13.0,0.0,3.0,286.0,154.0,375
80,70.0,,,Karton Kapak,Kitap Kağıdı,0.0,"Bilinçli Konuşma Sanatı  Konuşmayı, Dinlemeyi ve İletişime Geçmeyi İyileştirmek",7.0,0.0,0.0,87.0,35.0,241
81,82.5,5.0,,Karton Kapak,Kitap Kağıdı,100.0,Kendine Hikayeler Anlatan Beyin,3.0,0.0,2.0,33.0,32.0,248
82,66.0,4.0,59.0,Karton Kapak,Kitap Kağıdı,88.7,Beyin Sizsiniz,98.0,12.0,119.0,1188.0,4332.0,343
83,67.5,5.0,,Karton Kapak,Kitap Kağıdı,100.0,Anne Dansı  Çocuklar Hayatınızı Nasıl Değiştirir,14.0,1.0,6.0,137.0,280.0,328
84,73.16,5.0,1.0,Karton Kapak,Kitap Kağıdı,96.0,Pozitif Gücün Büyüsü  İçinizdeki Gücü Keşfedin,8.0,0.0,5.0,214.0,435.0,275
85,108.0,5.0,1.0,Karton Kapak,Kitap Kağıdı,90.0,Karanlık Psikoloji Manipülasyon,8.0,1.0,4.0,143.0,92.0,160
86,59.4,4.0,15.0,Karton Kapak,Kitap Kağıdı,,"Karar Ver, Planla, Harekete Geç",74.0,11.0,48.0,1094.0,1813.0,176
87,61.19,4.0,14.0,Karton Kapak,Kitap Kağıdı,87.2,Başarısızlığa Övgü  Başarısızlıklar Başarıya Dönüştürülebilir,61.0,10.0,34.0,639.0,1358.0,160
88,108.0,5.0,44.0,Karton Kapak,Kitap Kağıdı,98.8,Sırgah,30.0,5.0,28.0,334.0,698.0,366
89,60.83,5.0,7.0,Karton Kapak,Kitap Kağıdı,100.0,Yenilmezlerin ve En Güçlülerin Sırları,29.0,1.0,6.0,138.0,366.0,92
90,68.4,5.0,2.0,Karton Kapak,Kitap Kağıdı,97.5,Bensiz Biz Olmaz,25.0,1.0,24.0,619.0,467.0,256
91,34.3,5.0,18.0,Karton Kapak,Kitap Kağıdı,92.3,Ruhsal Zeka,34.0,7.0,28.0,345.0,1048.0,346
92,99.0,5.0,6.0,Karton Kapak,Kitap Kağıdı,92.9,Empati  İç Dengenin Kurulması ve Aile İçinde  Huzurlu Bir Yaşamın Sağlanması İçin Beş Yol,21.0,5.0,21.0,217.0,448.0,304
93,90.0,5.0,2.0,Karton Kapak,Kitap Kağıdı,96.7,Zihnim Ellerimde - 2,16.0,3.0,7.0,165.0,912.0,176
94,179.4,5.0,41.0,Karton Kapak,Kitap Kağıdı,92.4,Ayakkabı Gurusu,96.0,6.0,83.0,1300.0,2432.0,432
95,62.7,5.0,20.0,Karton Kapak,Kitap Kağıdı,98.3,Çocukluğun Keşfi,57.0,15.0,54.0,660.0,1751.0,232
96,154.56,5.0,6.0,Karton Kapak,Kitap Kağıdı,93.7,Öğrenilmiş İyimserlik,53.0,7.0,21.0,1009.0,855.0,490
97,79.36,5.0,2.0,Karton Kapak,Kitap Kağıdı,97.1,Akılgözü  Bilinçli Farkındalık ve Kendini İyileştiren Beyin,23.0,0.0,10.0,330.0,464.0,408
98,149.4,5.0,3.0,Karton Kapak,Kitap Kağıdı,95.0,Parayı Kendinize Çekmenin Sırları,5.0,1.0,3.0,161.0,142.0,160
99,78.0,5.0,12.0,Karton Kapak,Kitap Kağıdı,93.7,Üç Oda Bir Salon,128.0,21.0,32.0,928.0,1796.0,184
100,56.89,5.0,2.0,Karton Kapak,Kitap Kağıdı,92.0,Sakin Olmak  Yaşlanırken Kazandıklarımız,14.0,1.0,12.0,613.0,426.0,102
101,28.05,5.0,11.0,Karton Kapak,Kitap Kağıdı,95.8,Düşün ve Başar ,12.0,2.0,24.0,188.0,865.0,272
102,149.4,4.0,1.0,Karton Kapak,Kitap Kağıdı,,"Beşinci Cümle  Yeni Ho’oponopono, Zero Limit İyileşme Aşaması ve Diğer İleri Düzey İyileşme Yöntemleri",5.0,0.0,4.0,87.0,176.0,144
103,86.0,5.0,1.0,Karton Kapak,Kitap Kağıdı,,Tasavvuf Işığında Kuantum,25.0,2.0,10.0,450.0,1246.0,166
104,80.19,5.0,77.0,Karton Kapak,Kitap Kağıdı,95.0,Onlar Benim Kahramanım,134.0,12.0,167.0,2765.0,3668.0,222
105,182.5,5.0,2.0,Karton Kapak,Kitap Kağıdı,100.0,Vahşi Dişilik,29.0,1.0,7.0,686.0,449.0,416
106,129.5,5.0,116.0,Karton Kapak,Kitap Kağıdı,91.9,Mutlu Evlilik Okulu,155.0,12.0,223.0,1367.0,4348.0,376
107,149.4,4.0,2.0,Karton Kapak,Kitap Kağıdı,88.0,Doğru Düşünme Sanatı: Kaçınmanız Gereken 52 Mantık Hatası,7.0,0.0,0.0,303.0,171.0,256
108,73.1,,,Karton Kapak,Kitap Kağıdı,0.0,Toksik Düşüncelerden Nasıl Kurtuluruz?,2.0,1.0,1.0,99.0,50.0,112
109,50.05,5.0,28.0,Karton Kapak,Kitap Kağıdı,90.5,Kitleler Psikolojisi,58.0,6.0,47.0,1194.0,1743.0,172
110,62.04,5.0,46.0,Karton Kapak,Kitap Kağıdı,94.8,Çocuklar Anneleri Büyütür ve Babaları Da,81.0,11.0,109.0,1013.0,2779.0,224
111,149.4,4.0,8.0,Karton Kapak,Kitap Kağıdı,84.0,Kendiniz Olmanızı Engelleyen 5 Yara,28.0,5.0,23.0,465.0,1226.0,248
112,101.4,,,Karton Kapak,Kitap Kağıdı,0.0,İçten Dışa Şema Terapi - Kendine Uygulama Kendine Yansıtma Rehberi,4.0,0.0,0.0,70.0,35.0,
113,38.6,5.0,5.0,Karton Kapak,Kitap Kağıdı,90.0,Güçlü İletişimin Sırları Diksiyon Beden Dili ve Hitabet,39.0,7.0,30.0,728.0,1077.0,152
114,44.69,5.0,1.0,Karton Kapak,Kitap Kağıdı,97.1,İnsan Aptallığının Temel Yasaları  Allegro Ma Non Troppo,9.0,4.0,2.0,186.0,281.0,72
115,189.0,5.0,2.0,Karton Kapak,Kitap Kağıdı,93.3,Sır Katibi,8.0,0.0,1.0,77.0,261.0,400
116,113.75,4.0,27.0,Karton Kapak,Kitap Kağıdı,88.1,Bir Tek Şey,44.0,5.0,43.0,622.0,1293.0,256
117,95.7,5.0,2.0,Ciltli,Kitap Kağıdı,100.0,Şampiyonu Yetiştirmek (Ciltli),11.0,0.0,4.0,76.0,183.0,512
118,46.8,5.0,,Karton Kapak,Kitap Kağıdı,100.0,Zor Zamanlarda Ruhsal Dayanıklılık,6.0,0.0,1.0,216.0,128.0,86
119,24.0,5.0,12.0,Karton Kapak,Kitap Kağıdı,100.0,Ruha Şifa Muhabbetler 2 / Hayatın İçinden Tefsir Okumaları,27.0,5.0,27.0,351.0,780.0,120
120,161.0,5.0,211.0,Karton Kapak,Kitap Kağıdı,94.4,Amaç,165.0,32.0,310.0,2257.0,10478.0,400
121,74.56,5.0,4.0,Karton Kapak,Kitap Kağıdı,97.1,Zihin Tasarımı: Psikomimarinin Temel İlkeleri,12.0,6.0,7.0,269.0,281.0,312
122,109.6,4.0,2.0,Karton Kapak,Kitap Kağıdı,86.7,Nasıl Yaşarsak Öyle Ölürüz,5.0,0.0,4.0,172.0,257.0,192
123,63.36,5.0,16.0,Karton Kapak,Kitap Kağıdı,93.3,Kalp Gücüyle Tedavi,11.0,4.0,25.0,440.0,559.0,200
124,67.5,4.0,9.0,Karton Kapak,Kitap Kağıdı,89.0,İyiliği Düşünmek,26.0,3.0,16.0,555.0,672.0,238
125,39.6,5.0,1.0,Karton Kapak,Kitap Kağıdı,100.0,Beş Çember Kitabı,9.0,0.0,4.0,138.0,160.0,82
126,62.7,2.0,59.0,Karton Kapak,Kitap Kağıdı,31.5,Hiç’likten Gelen Güç,114.0,30.0,168.0,1621.0,13281.0,328
127,92.05,4.0,1.0,Karton Kapak,Kitap Kağıdı,80.0,Numeroloji Kılavuzu  Kaderini Değiştirmeye Hazır mısın?,4.0,0.0,3.0,55.0,152.0,190
128,179.0,5.0,2.0,Karton Kapak,Kitap Kağıdı,100.0,İnsan Portresi,2.0,0.0,4.0,31.0,173.0,412
129,80.29,5.0,3.0,Karton Kapak,Kitap Kağıdı,100.0,Düşüncenin İyileştirici Gücü,15.0,1.0,7.0,269.0,380.0,225
130,73.2,4.0,11.0,Karton Kapak,Kitap Kağıdı,86.7,Akıl Okuma Sanatı,59.0,8.0,25.0,1210.0,780.0,304
131,60.5,5.0,1.0,Karton Kapak,Kitap Kağıdı,100.0,Tetikleyiciler,5.0,1.0,1.0,92.0,140.0,208
132,67.98,5.0,4.0,Karton Kapak,Kitap Kağıdı,100.0,Düzenli Olmanın Yolları,21.0,4.0,6.0,357.0,384.0,216
133,61.38,5.0,54.0,Karton Kapak,Kitap Kağıdı,91.2,Mükemmel Annenin El Kitabı,57.0,3.0,92.0,770.0,1981.0,200
134,66.0,,,Karton Kapak,Kitap Kağıdı,0.0,Hafiflemenin Kutsal Kitabı,3.0,0.0,0.0,33.0,191.0,240
135,392.4,5.0,3.0,Karton Kapak,Kitap Kağıdı,92.0,Beyin Sizsiniz (5 Kitap Set),20.0,0.0,7.0,317.0,385.0,1895
136,91.76,5.0,,Karton Kapak,Kitap Kağıdı,100.0,Stratejik İkna,20.0,2.0,4.0,387.0,309.0,480
137,73.55,4.0,5.0,Karton Kapak,Kitap Kağıdı,84.5,Bir Psikanalistin Notları,31.0,3.0,32.0,626.0,436.0,224
138,185.25,,,Karton Kapak,Kitap Kağıdı,0.0,Hazır Olduğunuzda İşte Böyle İyileşirsiniz,1.0,1.0,0.0,51.0,17.0,280
139,156.0,,,Karton Kapak,Kitap Kağıdı,0.0,Anne Yarasını İyileştirmek,2.0,0.0,0.0,24.0,17.0,328
140,49.5,5.0,45.0,Karton Kapak,Kitap Kağıdı,92.8,Kariyer de Yaparım Babalık da,54.0,7.0,73.0,470.0,1995.0,128
141,89.76,5.0,,Karton Kapak,Kitap Kağıdı,95.0,Pürdikkat: Dikkatinizi Nasıl Toplar ve Hayatınızın Kontrolünü Elinize Alırsınız?,34.0,0.0,9.0,469.0,488.0,312
142,62.7,4.0,14.0,Karton Kapak,Kitap Kağıdı,88.3,Kısmet,46.0,11.0,48.0,277.0,2795.0,376
143,73.26,5.0,2.0,Karton Kapak,Kitap Kağıdı,100.0,Etkili İletişimin 13 Kuralı,28.0,0.0,7.0,470.0,255.0,320
144,149.4,5.0,,Karton Kapak,Kitap Kağıdı,100.0,Akıllıca Davranma Sanatı: Kaçınmanız Gereken 52 Davranış Hatası,7.0,1.0,2.0,208.0,119.0,248
145,113.75,5.0,125.0,Karton Kapak,Kitap Kağıdı,94.0,Korku Kültürü Niçin 'Mış Gibi' Yaşıyoruz?,212.0,21.0,236.0,4886.0,6349.0,336
146,67.98,5.0,76.0,Karton Kapak,Kitap Kağıdı,91.6,Sade Yaşam İçin Küçük Bir Adım,107.0,20.0,140.0,1007.0,3240.0,256
147,59.4,5.0,11.0,Karton Kapak,Kitap Kağıdı,99.0,Kendine Dön,80.0,5.0,48.0,901.0,2047.0,152
148,71.28,5.0,25.0,Karton Kapak,Kitap Kağıdı,97.3,Kim Öldürdü İçindeki Öğrenme Aşkını ?,42.0,6.0,51.0,526.0,1322.0,264
149,87.12,5.0,21.0,Karton Kapak,Kitap Kağıdı,97.3,Özgüven  Oynuyorum ve Kendimi Tanıyorum,33.0,6.0,43.0,552.0,1507.0,96
150,112.0,5.0,4.0,Karton Kapak,Kitap Kağıdı,97.1,Sihir,20.0,0.0,13.0,239.0,2991.0,226
151,62.3,5.0,22.0,Karton Kapak,Kitap Kağıdı,95.5,Korkmasaydın Ne Yapardın?,52.0,2.0,50.0,1054.0,733.0,160
152,87.12,5.0,1.0,Karton Kapak,Kitap Kağıdı,100.0,"Bir Kelam, Bin İlham",8.0,1.0,6.0,157.0,200.0,144
153,108.0,4.0,7.0,Karton Kapak,Kitap Kağıdı,86.0,Hikaye Anlatıcısının Sırrı ,33.0,3.0,17.0,566.0,396.0,346
154,57.75,5.0,46.0,Karton Kapak,Kitap Kağıdı,93.9,Bilinçli Aile,71.0,12.0,90.0,659.0,2585.0,240
155,82.5,5.0,13.0,Karton Kapak,Kitap Kağıdı,97.9,Öz Saygı  Ergenler İçin Çalışma Kitabı,26.0,1.0,24.0,333.0,753.0,190
156,192.5,4.0,52.0,Karton Kapak,Kuşe Kağıt,87.3,Zihin Haritaları,89.0,13.0,79.0,1716.0,1759.0,212
157,64.1,4.0,33.0,Karton Kapak,Kitap Kağıdı,87.3,Bilinçaltı Zihninizin Gücü,40.0,8.0,52.0,584.0,1541.0,224
158,85.56,4.0,,Karton Kapak,Kitap Kağıdı,80.0,100 Kadim Öğreti,3.0,0.0,3.0,60.0,99.0,304
159,70.0,,,Karton Kapak,Kitap Kağıdı,0.0,Herkese Açık Kuantum Atölyesi - Kendini Keşfet ,1.0,0.0,0.0,13.0,30.0,126
160,195.0,,,Karton Kapak,Kitap Kağıdı,0.0,Bilinçdışı Anlaşmalardan Özgürleşmek,2.0,0.0,0.0,27.0,14.0,368
161,52.8,5.0,117.0,Karton Kapak,Kitap Kağıdı,93.8,Burası Gerçek Dünya,85.0,9.0,262.0,940.0,4397.0,136
162,97.45,4.0,2.0,Karton Kapak,Kitap Kağıdı,86.7,Ben Dünkü Ben Değilim,18.0,4.0,6.0,151.0,351.0,184
163,161.4,5.0,21.0,Karton Kapak,Kitap Kağıdı,98.4,İçimde Neler Oluyor,44.0,12.0,29.0,810.0,1156.0,312
164,71.5,5.0,3.0,Karton Kapak,Kitap Kağıdı,97.1,Gelecek Nasıl Gelecek,19.0,3.0,4.0,312.0,279.0,240
165,87.05,4.0,11.0,Karton Kapak,Kitap Kağıdı,89.6,İyi Hissetme Sanatı,41.0,6.0,26.0,881.0,886.0,344
166,68.4,5.0,,Karton Kapak,Kitap Kağıdı,100.0,Yüz Okuma  Sanatı 3,6.0,0.0,0.0,104.0,135.0,272
167,57.75,5.0,55.0,Karton Kapak,Kitap Kağıdı,92.5,Başarı ve Mutluluk İçin Hayata Gülümse,71.0,11.0,93.0,579.0,2438.0,216
168,68.6,5.0,,Karton Kapak,Kitap Kağıdı,100.0,Aklındakini Okuyabilirim!,8.0,0.0,13.0,221.0,320.0,200
169,69.8,5.0,1.0,Karton Kapak,Kitap Kağıdı,100.0,An ,6.0,0.0,2.0,56.0,132.0,192
170,107.45,4.0,13.0,Karton Kapak,Kitap Kağıdı,,İkna Dehası,42.0,9.0,24.0,564.0,683.0,497
